Year,CSF_pg_ml
20.446881397430225, 1681.0672070941391
25.03297087658296, 1720.3545012190477
30.67165944839363, 1785.6172909358377
36.119826761447214, 1855.1698951721582
41.091485181108354, 1933.2918411225528
45.106833869988776, 1994.0693571450613
49.98384889977058, 2080.801794109477
57.061939983746015, 2223.805898752147
61.26945590338143, 2297.5351569331424
64.41737734936784, 2272.012303640684
66.03248737230857, 2190.2897939448803
67.07150719598381, 2074.022446943121
68.1068235826638, 1918.9615974158237
68.85450636271048, 1750.938718405053
69.22196961124197, 1600.1162467723516
69.96718343329182, 1406.2310327445553
70.33217772382646, 1229.5462260948284
70.97986770500066, 1014.0987788945242
71.62632320717643, 785.7201641857068
73.0336292653821, 527.2511238902543
75.40506342135853, 368.0239077432693
78.74103716810515, 312.34890491425494
83.51229849702179, 291.3113253160782
89.23863507772072, 274.687008137274
95.159196354172, 292.5663789644782
99.1683726480603, 288.6880574444226
